run_id,taste
1,97.4593
2,74.3481
3,50.7620
4,48.7620
5,49.2953
6,56.3917
7,56.3917
8,50.3917
9,61.9423
10,67.9423
11,44.8312
12,46.8312
13,1.0000
14,77.3457
15,77.8790
16,70.8790
17,68.2627
18,74.2627
19,74.7961
20,47.8812
21,70.9923
22,68.9923
23,68.9923
24,1.0000
25,60.4840
26,94.5580
27,92.5580
28,92.5580
29,73.5756
30,79.5756
31,80.1089
32,56.9978
33,87.7426
34,94.7426
35,71.1564
36,70.6231
37,76.6231
38,74.6231
39,81.7195
40,58.6084
41,66.0889
42,66.6222
43,64.6222
44,64.6222
45,87.7333
46,99.9926
47,76.4064
48,70.4064
49,91.5068
50,93.5068
51,89.9072
52,62.9923
53,39.8812
54,39.8812
55,39.3478
56,45.3478
57,87.3376
58,94.2969
59,96.2969
60,95.7636
61,88.7636
62,65.6525
63,1.0000
64,1.0000
65,59.3917
66,63.6222
67,75.8815
68,75.8815
69,73.8815
70,67.8815
71,67.3481
72,90.4593
73,70.3858
74,72.3858
75,65.4265
76,71.4265
77,71.9599
78,64.9599
79,88.0710
80,90.8200
81,56.1056
82,63.1056
83,62.5722
84,58.3417
85,52.3417
86,75.4528
87,68.3564
88,70.3564
89,84.3210
90,84.3210
91,91.2803
92,15.2610
93,14.7276
94,12.7276
95,18.7276
96,1.0000
