run_id,taste
1,45.4953
2,100.3125
3,94.3006
4,86.2473
5,85.9170
6,67.0128
7,94.2497
8,80.9784
9,86.5975
10,24.5707
11,76.7573
12,91.1367
13,97.4761
14,40.0592
15,97.2067
16,72.2179
17,32.5553
18,90.8747
19,86.4320
20,88.7456
21,25.2114
22,76.3301
23,88.1621
24,88.5100
25,60.4702
26,87.2616
27,79.0594
28,85.1321
29,97.4693
30,65.4797
31,98.1263
32,73.0128
33,1.0000
34,97.6340
35,84.8687
36,94.6954
37,66.7225
38,76.4817
39,86.9632
40,79.4208
41,68.7769
42,82.1923
43,71.0612
44,54.7818
45,84.1549
46,67.0789
47,94.0958
48,81.7027
49,64.1416
50,94.0770
51,90.1292
52,87.6397
53,85.7719
54,58.4067
55,69.6062
56,85.4862
57,84.6692
58,63.4213
59,81.7879
60,85.3282
61,92.4199
62,17.7899
63,98.4135
64,67.8136
65,77.6958
66,82.4384
67,57.2109
68,90.4776
69,99.9568
70,72.5167
71,93.4200
72,65.4015
73,83.9987
74,94.3265
75,42.6276
76,87.9619
77,80.4474
78,88.9268
79,43.4003
80,74.3157
81,87.0853
82,84.3662
83,77.8824
84,44.1450
85,101.9314
86,58.5295
87,88.4753
88,57.0769
89,77.9538
90,97.1714
91,66.2811
92,93.3997
93,76.6743
94,89.6792
95,96.8832
96,29.9220
97,77.2993
98,86.9794
99,85.8675
100,50.5055
101,102.6799
102,74.7642
103,92.5483
104,1.0000
105,87.4792
106,89.3788
107,61.9612
108,89.4819
109,64.5153
110,88.1497
111,90.3366
112,59.2116
113,85.1297
114,68.0353
115,74.2053
116,82.0201
117,97.3430
118,75.3711
119,89.3438
120,69.4908
121,77.7135
122,101.2085
123,1.0000
124,92.6195
125,84.7464
126,88.5697
127,58.6388
128,69.0292
129,53.5673
130,85.7526
131,90.7483
132,89.0057
133,93.5066
134,60.7568
135,95.9043
136,66.3642
137,13.2561
138,99.7602
139,78.1517
140,86.9433
141,34.1405
142,81.9648
143,92.8181
144,77.0452
145,83.1472
146,36.9840
147,86.4416
148,83.3489
149,101.4105
150,1.2586
151,81.8344
152,91.2895
153,64.9738
154,92.6026
155,77.9053
156,97.5738
157,82.0864
158,77.2185
159,100.7229
160,70.2853
161,70.4601
162,79.9694
163,85.7167
164,78.8491
165,100.1267
166,1.0000
167,96.7080
168,83.3197
169,78.5053
170,82.9448
171,72.6613
172,93.6297
173,81.1664
174,80.2870
175,85.6767
176,80.9312
177,67.7304
178,81.1976
179,82.9766
180,71.8217
181,83.9515
182,64.0059
183,92.9083
184,82.4058
185,1.0000
186,94.7045
187,80.4780
188,91.4855
189,75.3919
190,83.8298
191,88.6158
192,74.7946
193,49.2858
194,101.8490
195,77.8626
196,74.7830
197,87.0508
198,81.0627
199,94.2370
200,46.4771
201,93.2907
202,74.0120
203,70.7887
204,54.1782
205,93.3622
206,83.3674
207,96.2390
208,27.3791
209,75.4402
210,92.3887
211,24.0888
212,94.7013
213,84.9687
214,75.5403
215,49.8602
216,80.0824
217,90.9652
218,86.6738
219,51.9687
220,90.1459
221,100.2262
222,66.8767
223,90.4057
224,62.7453
225,73.5065
226,96.9702
227,1.0000
228,89.0618
229,84.7003
230,83.3583
231,69.3755
232,76.3647
233,94.9323
234,80.4531
235,69.2772
236,83.1027
237,96.7095
238,78.5734
239,90.7156
240,66.7134
241,74.7683
242,98.2513
243,79.2690
244,80.8728
245,77.6387
246,77.4907
247,82.5837
248,77.4564
249,88.2735
250,84.1127
251,77.1977
252,75.7206
253,98.6343
254,86.2543
255,96.8893
256,1.0000
257,45.4953
258,100.3125
259,85.6564
260,61.9218
261,79.7971
262,99.2059
263,79.9976
264,92.5123
265,1.0000
266,98.9964
267,76.4160
268,83.9061
269,77.6318
270,92.8682
271,88.9421
272,91.2464
273,76.8891
274,81.9480
275,1.0000
276,95.4815
277,87.4547
278,93.2487
279,80.5725
280,80.3827
281,84.5866
282,37.7300
283,67.4035
284,91.4821
285,85.6322
286,83.7795
287,79.9861
288,81.8589
289,92.4080
290,48.8447
291,92.2479
292,80.9925
293,80.9470
294,75.3630
295,88.1629
296,49.7987
297,99.3506
298,67.3697
299,87.4296
300,85.6602
301,37.4184
302,85.3911
303,74.9496
304,65.6372
305,88.7154
306,74.1823
307,93.5536
308,81.4733
309,57.8153
310,72.5778
311,15.5133
312,89.2162
313,94.7670
314,64.6936
315,89.2188
316,71.4191
317,92.0898
318,64.6870
319,79.3365
320,79.3251
321,88.1875
322,94.5406
323,76.2981
324,93.2398
325,67.6419
326,94.5195
327,79.0291
328,35.7626
329,88.3379
330,86.3802
331,72.4659
332,99.3536
333,1.0000
334,100.1940
335,68.2727
336,79.5294
337,76.2483
338,100.0671
339,87.5454
340,80.5006
341,69.9412
342,86.8976
343,19.7985
344,92.8730
345,80.3894
346,94.3990
347,80.2222
348,86.1130
349,65.5624
350,21.9050
351,81.8405
352,85.0178
353,91.5650
354,57.7829
355,88.6439
356,38.9011
357,97.5345
358,45.8006
359,90.5164
360,90.4768
361,62.2917
362,75.9940
363,75.1857
364,74.5786
365,101.0072
366,58.6354
367,84.0770
368,94.4265
369,70.1046
370,78.1422
371,42.4083
372,75.5959
373,79.7828
374,86.0963
375,94.4503
376,71.5930
377,86.6313
378,65.0393
379,79.3057
380,78.9729
381,89.4130
382,86.5962
383,92.2148
384,71.0808
385,35.7004
386,87.6241
387,68.9128
388,86.8358
389,82.3034
390,91.8444
391,78.7921
392,98.1333
393,70.8256
394,90.1555
395,77.8370
396,34.2419
397,90.3761
398,92.8388
399,58.3049
400,101.1962
401,84.6184
402,3.4001
403,71.9371
404,86.2087
405,71.2851
406,94.9353
407,91.2569
408,93.3895
409,80.4689
410,78.5966
411,22.6459
412,89.3908
413,76.1806
414,91.0849
415,86.6851
416,94.8992
417,92.1868
418,76.4905
419,78.6321
420,83.6684
421,62.7160
422,72.3957
423,86.5695
424,73.8858
425,96.8060
426,71.9808
427,85.2373
428,81.9123
429,84.1936
430,49.6921
431,93.9382
432,42.3584
433,77.6052
434,91.7615
435,104.1415
436,57.1731
437,91.4996
438,36.9698
439,87.6079
440,55.0382
441,69.1913
442,88.7454
443,103.1882
444,69.5175
445,79.3358
446,76.4561
447,57.6328
448,73.1674
449,68.3015
450,95.0566
451,77.8028
452,92.2665
453,27.3887
454,91.3634
455,80.7841
456,82.3818
457,76.3491
458,93.1445
459,79.4967
460,96.7308
461,75.3558
462,80.9979
463,83.7092
464,1.0000
465,79.1805
466,97.1966
467,77.2113
468,98.6980
469,91.7927
470,1.0000
471,61.9295
472,84.7487
473,78.1319
474,97.9094
475,73.2069
476,95.7752
477,91.2801
478,69.8050
479,23.7908
480,98.6087
481,71.5953
482,80.5024
483,94.1733
484,63.6669
485,89.3581
486,86.5115
487,68.9256
488,68.0770
489,88.6515
490,51.1153
491,99.8783
492,1.4412
493,92.5776
494,77.6259
495,89.9721
496,74.5511
497,91.4921
498,22.7071
499,84.2681
500,66.1296
501,80.2965
502,86.3646
503,97.0707
504,80.0245
505,84.4838
506,64.2150
507,75.5943
508,79.3222
509,71.4463
510,81.7190
511,92.2423
512,81.4543
513,45.4953
514,100.3125
515,94.3006
516,86.2473
517,72.9170
518,80.0128
519,81.2497
520,93.9784
521,76.8475
522,27.8207
523,86.5073
524,87.8867
525,81.2261
526,49.8092
527,87.4567
528,88.4679
529,37.4303
530,89.2497
531,81.5570
532,90.3706
533,17.0864
534,94.2051
535,70.2871
536,96.6350
537,60.4702
538,87.2616
539,79.0594
540,85.1321
541,94.2193
542,68.7297
543,75.3763
544,95.7628
545,17.3162
546,86.6652
547,93.4000
548,80.4767
549,63.0662
550,85.8255
551,89.8070
552,69.2646
553,74.0581
554,74.4736
555,94.2174
556,38.9381
557,80.4986
558,73.1727
559,95.3145
560,73.1714
561,82.4228
562,73.3582
563,97.0355
564,81.5459
565,85.3657
566,61.2505
567,70.8250
568,83.4550
569,98.0754
570,41.0776
571,91.9441
572,79.2345
573,96.8887
574,9.2587
575,96.3823
576,78.7823
577,92.6254
578,77.8681
579,42.8906
580,95.6573
581,89.2927
582,86.2276
583,77.8810
